disease,synonym_disease,,link,overview,symptoms,remedies,,,,,,,,,,,
indigestion,,,https://www.mayoclinic.org/diseases-conditions/indigestion/symptoms-causes/syc-20352211,"Indigestion — also called dyspepsia or an upset stomach — is discomfort in your upper abdomen. Indigestion describes certain symptoms, such as abdominal pain and a feeling of fullness soon after you start eating, rather than a specific disease. Indigestion can also be a symptom of various digestive diseases.","[""Early fullness during a meal. You haven't eaten much of your meal, but you already feel full and may not be able to finish eating."", 'Uncomfortable fullness after a meal. The feeling of fullness lasts longer than it should.', 'Discomfort in the upper abdomen. You feel a mild to severe pain in the area between the bottom of your breastbone and your bellybutton.', 'Burning in the upper abdomen. You feel an uncomfortable heat or burning sensation between the bottom of your breastbone and your bellybutton.', 'Bloating in the upper abdomen. You feel an uncomfortable sensation of tightness in your upper abdomen.', 'Nausea. You feel as if you want to vomit.']","['Eating smaller, more-frequent meals. Chew your food slowly and thoroughly.', 'Avoiding triggers. Fatty and spicy foods, processed foods, carbonated beverages, caffeine, alcohol, and smoking can trigger indigestion.', 'Maintaining a healthy weight. Excess pounds put pressure on your abdomen, pushing up your stomach and causing acid to back up into your esophagus.', 'Exercising regularly. Exercise helps you keep off extra weight and promotes better digestion.', 'Managing stress. Create a calm environment at mealtime. Practice relaxation techniques, such as deep breathing, meditation or yoga. Spend time doing things you enjoy. Get plenty of sleep.', ""Changing your medications. With your doctor's approval, stop or cut back on pain relievers or other medications that may irritate your stomach lining. If that's not an option, be sure to take these medications with food.""]",,,,,,,,,,,
ingrown hair,,,https://www.mayoclinic.org/diseases-conditions/ingrown-hair/symptoms-causes/syc-20373893,"Ingrown hair occurs when a hair that's been removed starts to grow back and curves into the skin. Shaving, tweezing or waxing can cause this to happen. An ingrown hair can cause tiny, swollen bumps on the skin that may hurt. The condition most often affects Black people with curly hair who shave.","['Tiny, swollen bumps where you shave, tweeze or wax', 'Small bumps that look like blisters or are filled with pus', 'Small bumps that are darker than surrounding skin (hyperpigmentation)', 'Burning or stinging', 'Itching', 'Hair in the shape of a loop because the tip of the hair curves and grows into the skin']","['Shave at least twice a week.', ""Don't tweeze ingrown hairs."", 'Before shaving wash the affected area using a warm washcloth or soft-bristled toothbrush. Use a circular motion for a few minutes.', 'Apply a warm, damp cloth for a few more minutes.', ""Apply shaving cream — don't let it dry out — and use a sharp, single-blade razor."", ""Don't pull your skin while shaving."", 'Shave in the direction of hair growth.', 'Rinse the blade after each stroke.', 'Release visible ingrown hairs by inserting a sterile needle under each hair loop and gently lifting the tip that has grown back into the skin.', 'Rinse your skin and apply a cool, wet cloth for a few minutes. Then use a soothing after-shave product. If needed, try using a 1% hydrocortisone cream for no more than four weeks.']",,,,,,,,,,,
ingrown toenails,,,https://www.mayoclinic.org/diseases-conditions/ingrown-toenails/symptoms-causes/syc-20355903,"Ingrown toenails are a common condition in which the corner or side of a toenail grows into the soft flesh. The result is pain, inflamed skin, swelling and, sometimes, an infection. Ingrown toenails usually affect the big toe.","['Pain and tenderness', 'Inflamed skin', 'Swelling', 'Infection']","['Soak your feet in warm, soapy water. Do this for 10 to 20 minutes 3 to 4 times a day until the toe improves.', 'Place cotton or dental floss under your toenail. After each soaking, put fresh bits of cotton or waxed dental floss under the ingrown edge. This will help the nail grow above the skin edge.', 'Apply petroleum jelly. Put petroleum jelly (Vaseline) on the tender area and bandage the toe.', 'Choose sensible footwear. Consider wearing open-toed shoes or sandals until your toe feels better.', 'Take pain relievers. A nonprescription pain reliever such as acetaminophen (Tylenol, others) or ibuprofen (Advil, Motrin IB, others) may help ease the toe pain.']",,,,,,,,,,,
lice,,,https://www.mayoclinic.org/diseases-conditions/lice/symptoms-causes/syc-20374399,"Lice are tiny, wingless insects that feed on human blood. Lice spread from person to person through close contact and by sharing belongings.","['Intense itching on the scalp, body or in the genital area.', 'A tickling feeling from movement of hair.', 'The presence of lice on your scalp, body, clothing, or pubic or other body hair. Adult lice may be about the size of a sesame seed or slightly larger.', ""Lice eggs (nits) on hair shafts. Nits may be difficult to see because they're very tiny. They're easiest to spot around the ears and the nape of the neck. Nits can be mistaken for dandruff, but unlike dandruff, they can't be easily brushed out of hair."", 'Sores on the scalp, neck and shoulders. Scratching can lead to small red bumps that can sometimes get infected with bacteria.', 'Bite marks, especially around the waist, groin, upper thighs and pubic area.']","['Check other household members for lice and nits. Treat anyone who has signs of lice.', 'Use lotions and shampoos. Choose from among several nonprescription lotions and shampoos designed to kill lice. Apply the product according to package instructions.\nYou may need to repeat treatment with the lotion or shampoo in about 9 to 10 days after the first application. Be sure to check the age recommendations of the drugs before using them on children.', 'Comb wet hair. Use a fine-toothed or nit comb to physically remove the lice from wet hair. Repeat every 3 to 4 days for at least two weeks. This method may be used in combination with other treatments. It is usually recommended as the first line treatment for infants younger than 2 months.', 'Wash items. Wash bedding, stuffed animals, clothing and hats with hot, soapy water — at least 130 F (54 C) — and dry them at high heat for at least 20 minutes.', 'Seal unwashable items. Place them in an airtight bag for two weeks.', 'Vacuum. Vacuum the floor and furniture well.', 'Wash combs and brushes. Use very hot, soapy water — at least 130 F (54 C) — or soak combs and brushes in rubbing alcohol for an hour.']",,,,,,,,,,,
lice,body lice,,https://www.mayoclinic.org/diseases-conditions/body-lice/symptoms-causes/syc-20350310,"Body lice are tiny insects, about the size of a sesame seed. Body lice live in your clothing and bedding and travel to your skin several times a day to feed on blood. The most common sites for bites are around the neck, shoulders, armpits, waist and groin — places where clothing seams are most likely to touch skin.","['War refugees', 'Homeless people', 'People displaced by natural disasters']","[""How long do you think you've had body lice?"", 'What are your symptoms?', 'How were you infested with body lice?', 'Have you been in contact with others since noticing the body lice? What treatments have you tried?', 'Do you have any chronic health problems?', 'What medications and supplements do you take?']",,,,,,,,,,,
major depressive disorder,depression,major depressive disorder,https://www.mayoclinic.org/diseases-conditions/depression/symptoms-causes/syc-20356007,"Depression is a mood disorder that causes a persistent feeling of sadness and loss of interest. Also called major depressive disorder or clinical depression, it affects how you feel, think and behave and can lead to a variety of emotional and physical problems. You may have trouble doing normal day-to-day activities, and sometimes you may feel as if life isn't worth living.","['Feelings of sadness, tearfulness, emptiness or hopelessness', 'Angry outbursts, irritability or frustration, even over small matters', 'Loss of interest or pleasure in most or all normal activities, such as sex, hobbies or sports', 'Sleep disturbances, including insomnia or sleeping too much', 'Tiredness and lack of energy, so even small tasks take extra effort', 'Reduced appetite and weight loss or increased cravings for food and weight gain', 'Anxiety, agitation or restlessness', 'Slowed thinking, speaking or body movements', 'Feelings of worthlessness or guilt, fixating on past failures or self-blame', 'Trouble thinking, concentrating, making decisions and remembering things', 'Frequent or recurrent thoughts of death, suicidal thoughts, suicide attempts or suicide', 'Unexplained physical problems, such as back pain or headaches']","[""Stick to your treatment plan. Don't skip psychotherapy sessions or appointments. Even if you're feeling well, don't skip your medications. If you stop, depression symptoms may come back, and you could also experience withdrawal-like symptoms. Recognize that it will take time to feel better."", 'Learn about depression. Education about your condition can empower you and motivate you to stick to your treatment plan. Encourage your family to learn about depression to help them understand and support you.', 'Pay attention to warning signs. Work with your doctor or therapist to learn what might trigger your depression symptoms. Make a plan so that you know what to do if your symptoms get worse. Contact your doctor or therapist if you notice any changes in symptoms or how you feel. Ask relatives or friends to help watch for warning signs.', 'Avoid alcohol and recreational drugs. It may seem like alcohol or drugs lessen depression symptoms, but in the long run they generally worsen symptoms and make depression harder to treat. Talk with your doctor or therapist if you need help with alcohol or substance use.', ""Take care of yourself. Eat healthy, be physically active and get plenty of sleep. Consider walking, jogging, swimming, gardening or another activity that you enjoy. Sleeping well is important for both your physical and mental well-being. If you're having trouble sleeping, talk to your doctor about what you can do.""]",,,,,,,,,,,
menstrual cramps,,,https://www.mayoclinic.org/diseases-conditions/menstrual-cramps/symptoms-causes/syc-20374938,Menstrual cramps (dysmenorrhea) are throbbing or cramping pains in the lower abdomen. Many women have menstrual cramps just before and during their menstrual periods.,"['Throbbing or cramping pain in your lower abdomen that can be intense', 'Pain that starts 1 to 3 days before your period, peaks 24 hours after the onset of your period and subsides in 2 to 3 days', 'Dull, continuous ache', 'Pain that radiates to your lower back and thighs']","['Exercise regularly. Physical activity, including sex, helps ease menstrual cramps for some women.', 'Use heat. Soaking in a hot bath or using a heating pad, hot water bottle or heat patch on your lower abdomen might ease menstrual cramps.', 'Try dietary supplements. A number of studies have indicated that vitamin E, omega-3 fatty acids, vitamin B-1 (thiamin), vitamin B-6 and magnesium supplements might reduce menstrual cramps.', 'Reduce stress. Psychological stress might increase your risk of menstrual cramps and their severity.']",,,,,,,,,,,
migraine,,,https://www.mayoclinic.org/diseases-conditions/migraine-headache/symptoms-causes/syc-20360201,"A migraine is a headache that can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.","['Constipation', 'Mood changes, from depression to euphoria', 'Food cravings', 'Neck stiffness', 'Increased urination', 'Fluid retention', 'Frequent yawning']","['Try relaxation techniques. Biofeedback and other forms of relaxation training teach you ways to deal with stressful situations, which might help reduce the number of migraines you have.', ""Develop a sleeping and eating routine. Don't sleep too much or too little. Set and follow a consistent sleep and wake schedule daily. Try to eat meals at the same time every day."", 'Drink plenty of fluids. Staying hydrated, particularly with water, might help.', 'Keep a headache diary. Recording your symptoms in a headache diary will help you learn more about what triggers your migraines and what treatment is most effective. It will also help your doctor diagnose your condition and track your progress in between visits.', 'Exercise regularly. Regular aerobic exercise reduces tension and can help prevent a migraine. If your doctor agrees, choose aerobic activity you enjoy, such as walking, swimming and cycling. Warm up slowly, however, because sudden, intense exercise can cause headaches.\nRegular exercise can also help you lose weight or maintain a healthy body weight, and obesity is thought to be a factor in migraines.']",,,,,,,,,,,
mosquito bites,,,https://www.mayoclinic.org/diseases-conditions/mosquito-bites/symptoms-causes/syc-20375310,"Mosquito bites are the itchy bumps that appear after mosquitoes use their mouthparts to puncture your skin and feed on your blood. The bump usually clears up on its own in a few days. Occasionally a mosquito bite causes a large area of swelling, soreness and redness. This type of reaction, most common in children, is sometimes referred to as skeeter syndrome.","['A puffy, white and reddish bump that appears a few minutes after the bite', 'A hard, itchy, reddish-brown bump, or multiple bumps, appearing a day or so after the bite or bites', 'Small blisters instead of hard bumps', 'Dark spots that look like bruises']","['Apply a lotion, cream or paste. Putting calamine lotion or nonprescription hydrocortisone cream on the bite can help ease the itch. Or try dabbing the bite with a paste made of baking soda and water. Reapply several times daily until your symptoms go away.', 'Apply a cool compress. Try soothing the bite by applying a cold pack or a cool, moist cloth for a few minutes.', 'Take an oral antihistamine. For stronger reactions, try taking a nonprescription antihistamine (Benadryl, Chlor-Trimeton, others).']",,,,,,,,,,,
muscle cramp,,,https://www.mayoclinic.org/diseases-conditions/muscle-cramp/symptoms-causes/syc-20350820,"A muscle cramp is a sudden and involuntary contraction of one or more of your muscles. If you've ever been awakened in the night or stopped in your tracks by a sudden charley horse, you know that muscle cramps can cause severe pain. Though generally harmless, muscle cramps can make it temporarily impossible to use the affected muscle.","['Cause severe discomfort', 'Are associated with leg swelling, redness or skin changes', 'Are associated with muscle weakness', 'Happen frequently', ""Don't improve with self-care"", ""Aren't associated with an obvious cause, such as strenuous exercise""]","[""Stretch and massage. Stretch the cramped muscle and gently rub it to help it relax. For a calf cramp, put your weight on your cramped leg and bend your knee slightly. If you're unable to stand, sit on the floor or in a chair with your affected leg extended.\nTry pulling the top of your foot on the affected side toward your head while your leg remains in a straightened position. This will also help ease a back thigh (hamstring) cramp. For a front thigh (quadriceps) cramp, use a chair to steady yourself and try pulling your foot on the affected side up toward your buttock."", 'Apply heat or cold. Use a warm towel or heating pad on tense or tight muscles. Taking a warm bath or directing the stream of a hot shower onto the cramped muscle also can help. Alternatively, massaging the cramped muscle with ice may relieve pain.']",,,,,,,,,,,
myopia,nearsightedness,,https://www.mayoclinic.org/diseases-conditions/nearsightedness/symptoms-causes/syc-20375556,"Nearsightedness (myopia) is a common vision condition in which near objects appear clear, but objects farther away look blurry. It occurs when the shape of the eye — or the shape of certain parts of the eye — causes light rays to bend (refract) inaccurately. Light rays that should be focused on nerve tissues at the back of the eye (retina) are focused in front of the retina.","['Blurry vision when looking at distant objects', 'The need to squint or partially close the eyelids to see clearly', 'Headaches', 'Eyestrain']","['Get regular eye exams.', 'Protect your eyes from the sun.', 'Wear protective eyewear during sports or work that can result in eye injuries.', 'Use good lighting when reading and working.', 'Wear prescription lenses as directed.', 'Care for prescription glasses or contact lenses as directed.', 'Rest your eyes from computer or other close-up work every 20 minutes by looking at something 20 feet away for 20 seconds.', 'Eat healthy foods.', 'Get regular exercise.', 'Control health conditions, such as high blood pressure or diabetes, that can affect your vision.', ""Don't smoke.""]",,,,,,,,,,,
nearsightedness,,,https://www.mayoclinic.org/diseases-conditions/nearsightedness/symptoms-causes/syc-20375556,"Nearsightedness (myopia) is a common vision condition in which near objects appear clear, but objects farther away look blurry. It occurs when the shape of the eye — or the shape of certain parts of the eye — causes light rays to bend (refract) inaccurately. Light rays that should be focused on nerve tissues at the back of the eye (retina) are focused in front of the retina.","['Blurry vision when looking at distant objects', 'The need to squint or partially close the eyelids to see clearly', 'Headaches', 'Eyestrain']","['Get regular eye exams.', 'Protect your eyes from the sun.', 'Wear protective eyewear during sports or work that can result in eye injuries.', 'Use good lighting when reading and working.', 'Wear prescription lenses as directed.', 'Care for prescription glasses or contact lenses as directed.', 'Rest your eyes from computer or other close-up work every 20 minutes by looking at something 20 feet away for 20 seconds.', 'Eat healthy foods.', 'Get regular exercise.', 'Control health conditions, such as high blood pressure or diabetes, that can affect your vision.', ""Don't smoke.""]",,,,,,,,,,,
neck pain,,,https://www.mayoclinic.org/diseases-conditions/neck-pain/symptoms-causes/syc-20375581,Neck pain is common. Poor posture — whether from leaning over a computer or hunching over a workbench — strains neck muscles. Osteoarthritis also is a common cause of neck pain.,"[""Pain that's often worsened by holding the head in one place for long periods, such as when driving or working at a computer"", 'Muscle tightness and spasms', 'Decreased ability to move the head', 'Headache']","['Alternate heat and cold. Reduce inflammation by applying cold, such as an ice pack or ice wrapped in a towel, for up to 15 minutes several times a day during the first 48 hours. After that, use heat. Try taking a warm shower or using a heating pad on the low setting.', 'Home exercises. Keeping the neck moving is important. Begin daily gentle stretching, including neck rolls and shoulder rolls, once the worst of the pain lessens. Gently tilt, bend and rotate the neck. Warm the neck and back with a heating pad or in the shower or bath before doing these exercises.']",,,,,,,,,,,
obesity,,,https://www.mayoclinic.org/diseases-conditions/obesity/symptoms-causes/syc-20375742,"Obesity is a complex disease involving an excessive amount of body fat. Obesity isn't just a cosmetic concern. It's a medical problem that increases the risk of other diseases and health problems, such as heart disease, diabetes, high blood pressure and certain cancers.","[""Unhealthy diet. A diet that's high in calories, lacking in fruits and vegetables, full of fast food, and laden with high-calorie beverages and oversized portions contributes to weight gain."", 'Liquid calories. People can drink many calories without feeling full, especially calories from alcohol. Other high-calorie beverages, such as sugared soft drinks, can contribute to significant weight gain.', 'Inactivity. If you have a sedentary lifestyle, you can easily take in more calories every day than you burn through exercise and routine daily activities. Looking at computer, tablet and phone screens is a sedentary activity. The number of hours spent in front of a screen is highly associated with weight gain.']","['Learning about your condition. Education about obesity can help you learn more about why you developed obesity and what you can do about it. You may feel more empowered to take control and stick to your treatment plan. Read reputable self-help books and consider talking about them with your doctor or therapist.', ""Setting realistic goals. When you have to lose a lot of weight, you may set goals that are unrealistic, such as trying to lose too much too fast. Don't set yourself up for failure. Set daily or weekly goals for exercise and weight loss. Make small changes in your diet instead of attempting drastic changes that you're not likely to stick with for the long haul."", 'Sticking to your treatment plan. Changing a lifestyle you may have lived with for many years can be difficult. Be honest with your doctor, therapist or other health care professionals if you find your activity or eating goals slipping. You can work together to come up with new ideas or new approaches.', 'Enlisting support. Get your family and friends on board with your weight-loss goals. Surround yourself with people who will support you and help you, not sabotage your efforts. Make sure they understand how important weight loss is to your health. You might also want to join a weight-loss support group.', 'Keeping a record. Keep a food and activity log. This record can help you remain accountable for your eating and exercise habits. You can discover behavior that may be holding you back and, conversely, what works well for you. You can also use your log to track other important health parameters such as blood pressure and cholesterol levels and overall fitness.']",,,,,,,,,,,
obesity,childhood obesity,,https://www.mayoclinic.org/diseases-conditions/childhood-obesity/symptoms-causes/syc-20354827,"Childhood obesity is a serious medical condition that affects children and adolescents. It's particularly troubling because the extra pounds often start children on the path to health problems that were once considered adult problems — diabetes, high blood pressure and high cholesterol. Childhood obesity can also lead to poor self-esteem and depression.","['Diet. Regularly eating high-calorie foods, such as fast foods, baked goods and vending machine snacks, can cause your child to gain weight. Candy and desserts also can cause weight gain, and more and more evidence points to sugary drinks, including fruit juices and sports drinks, as culprits in obesity in some people.', ""Lack of exercise. Children who don't exercise much are more likely to gain weight because they don't burn as many calories. Too much time spent in sedentary activities, such as watching television or playing video games, also contributes to the problem. TV shows also often feature ads for unhealthy foods."", ""Family factors. If your child comes from a family of overweight people, he or she may be more likely to put on weight. This is especially true in an environment where high-calorie foods are always available and physical activity isn't encouraged."", ""Psychological factors. Personal, parental and family stress can increase a child's risk of obesity. Some children overeat to cope with problems or to deal with emotions, such as stress, or to fight boredom. Their parents might have similar tendencies."", ""Socioeconomic factors. People in some communities have limited resources and limited access to supermarkets. As a result, they might buy convenience foods that don't spoil quickly, such as frozen meals, crackers and cookies. Also, people who live in lower income neighborhoods might not have access to a safe place to exercise."", 'Certain medications. Some prescription drugs can increase the risk of developing obesity. They include prednisone, lithium, amitriptyline, paroxetine (Paxil), gabapentin (Neurontin, Gralise, Horizant) and propranolol (Inderal, Hemangeol).']",[],,,,,,,,,,,
ocd,obsessive-compulsive disorder,,https://www.mayoclinic.org/diseases-conditions/obsessive-compulsive-disorder/symptoms-causes/syc-20354432,Obsessive-compulsive disorder (OCD) features a pattern of unwanted thoughts and fears (obsessions) that lead you to do repetitive behaviors (compulsions). These obsessions and compulsions interfere with daily activities and cause significant distress.,"['Fear of contamination or dirt', 'Doubting and having difficulty tolerating uncertainty', 'Needing things orderly and symmetrical', 'Aggressive or horrific thoughts about losing control and harming yourself or others', 'Unwanted thoughts, including aggression, or sexual or religious subjects']","['Practice what you learn. Work with your mental health professional to identify techniques and skills that help manage symptoms, and practice these regularly.', ""Take your medications as directed. Even if you're feeling well, resist any temptation to skip your medications. If you stop, OCD symptoms are likely to return."", 'Pay attention to warning signs. You and your doctor may have identified issues that can trigger your OCD symptoms. Make a plan so that you know what to do if symptoms return. Contact your doctor or therapist if you notice any changes in symptoms or how you feel.', ""Check first before taking other medications. Contact the doctor who's treating you for OCD before you take medications prescribed by another doctor or before taking any over-the-counter medications, vitamins, herbal remedies or other supplements to avoid possible interactions.""]",,,,,,,,,,,
wrist pain,,,https://www.mayoclinic.org/diseases-conditions/wrist-pain/symptoms-causes/syc-20366213,"Wrist pain is often caused by sprains or fractures from sudden injuries. But wrist pain can also result from long-term problems, such as repetitive stress, arthritis and carpal tunnel syndrome.","['Sudden impacts. Wrist injuries often occur when you fall forward onto your outstretched hand. This can cause sprains, strains and even fractures. A scaphoid fracture involves a bone on the thumb side of the wrist. This type of fracture may not show up on X-rays immediately after the injury.', ""Repetitive stress. Any activity that involves repetitive wrist motion — from hitting a tennis ball or bowing a cello to driving cross-country — can inflame the tissues around joints or cause stress fractures, especially when you perform the movement for hours on end without a break. De Quervain's disease is a repetitive stress injury that causes pain at the base of the thumb.""]","['Detailed descriptions of your symptoms', ""Information about medical problems you've had or have"", 'Information about the medical problems of your parents or siblings', 'All the medications and dietary supplements you take', 'Questions you want to ask the doctor']",,,,,,,,,,,
panic attacks and panic disorder,,,https://www.mayoclinic.org/diseases-conditions/panic-attacks/symptoms-causes/syc-20376021,"A panic attack is a sudden episode of intense fear that triggers severe physical reactions when there is no real danger or apparent cause. Panic attacks can be very frightening. When panic attacks occur, you might think you're losing control, having a heart attack or even dying.","['Sense of impending doom or danger', 'Fear of loss of control or death', 'Rapid, pounding heart rate', 'Sweating', 'Trembling or shaking', 'Shortness of breath or tightness in your throat', 'Chills', 'Hot flashes', 'Nausea', 'Abdominal cramping', 'Chest pain', 'Headache', 'Dizziness, lightheadedness or faintness', 'Numbness or tingling sensation', 'Feeling of unreality or detachment']","[""Stick to your treatment plan. Facing your fears can be difficult, but treatment can help you feel like you're not a hostage in your own home."", 'Join a support group. Joining a group for people with panic attacks or anxiety disorders can connect you with others facing the same problems.', 'Avoid caffeine, alcohol, smoking and recreational drugs. All of these can trigger or worsen panic attacks.', 'Practice stress management and relaxation techniques. For example, yoga, deep breathing and progressive muscle relaxation — tensing one muscle at a time, and then completely releasing the tension until every muscle in the body is relaxed — also may be helpful.', 'Get physically active. Aerobic activity may have a calming effect on your mood.', ""Get sufficient sleep. Get enough sleep so that you don't feel drowsy during the day.""]",,,,,,,,,,,
pink eye,conjunctivitis,,https://www.mayoclinic.org/diseases-conditions/pink-eye/symptoms-causes/syc-20376355,"Pink eye (conjunctivitis) is an inflammation or infection of the transparent membrane (conjunctiva) that lines your eyelid and covers the white part of your eyeball. When small blood vessels in the conjunctiva become inflamed, they're more visible. This is what causes the whites of your eyes to appear reddish or pink.","['Redness in one or both eyes', 'Itchiness in one or both eyes', 'A gritty feeling in one or both eyes', 'A discharge in one or both eyes that forms a crust during the night that may prevent your eye or eyes from opening in the morning', 'Tearing']","[""Apply a compress to your eyes. To make a compress, soak a clean, lint-free cloth in water and wring it out before applying it gently to your closed eyelids. Generally, a cool water compress will feel the most soothing, but you can also use a warm compress if that feels better to you. If pink eye affects only one eye, don't touch both eyes with the same cloth. This reduces the risk of spreading pink eye from one eye to the other."", 'Try eyedrops. Over-the-counter eyedrops called artificial tears may relieve symptoms. Some eyedrops contain antihistamines or other medications that can be helpful for people with allergic conjunctivitis.', ""Stop wearing contact lenses. If you wear contact lenses, you may need to stop wearing them until your eyes feel better. How long you'll need to go without contact lenses depends on what's causing your conjunctivitis. Ask your doctor whether you should throw away your disposable contacts, as well as your cleaning solution and lens case. If your lenses aren't disposable, clean them thoroughly before reusing them.""]",,,,,,,,,,,
polycystic ovary syndrome,PCOS,,https://www.mayoclinic.org/diseases-conditions/pcos/symptoms-causes/syc-20353439,"Polycystic ovary syndrome (PCOS) is a problem with hormones that happens during the reproductive years. If you have PCOS, you may not have periods very often. Or you may have periods that last many days. You may also have too much of a hormone called androgen in your body.","[""Irregular periods. Having few menstrual periods or having periods that aren't regular are common signs of PCOS. So is having periods that last for many days or longer than is typical for a period. For example, you might have fewer than nine periods a year. And those periods may occur more than 35 days apart. You may have trouble getting pregnant."", 'Too much androgen. High levels of the hormone androgen may result in excess facial and body hair. This is called hirsutism. Sometimes, severe acne and male-pattern baldness can happen, too.', 'Polycystic ovaries. Your ovaries might be bigger. Many follicles containing immature eggs may develop around the edge of the ovary. The ovaries might not work the way they should.']","['Stay at a healthy weight. Weight loss can lower insulin and androgen levels. It also may restore ovulation. Ask your health care provider about a weight-control program, if you need one. Meet with a registered dietitian for help in reaching weight-loss goals.', 'Limit carbohydrates. High-carbohydrate diets might make insulin levels go higher. Ask your provider if a low-carbohydrate diet could help if you have PCOS. Choose complex carbohydrates, which raise your blood sugar levels more slowly. Complex carbohydrates are found in fruits, vegetables, whole grains and cooked dry beans and peas.', 'Be active. Exercise helps lower blood sugar levels. If you have PCOS, increasing your daily activity and getting regular exercise may treat or even prevent insulin resistance. Being active may also help you keep your weight under control and avoid developing diabetes.']",,,,,,,,,,,
premenstrual syndrome,PMS,,https://www.mayoclinic.org/diseases-conditions/premenstrual-syndrome/symptoms-causes/syc-20376780,"Premenstrual syndrome (PMS) has a wide variety of signs and symptoms, including mood swings, tender breasts, food cravings, fatigue, irritability and depression. It's estimated that as many as 3 of every 4 menstruating women have experienced some form of premenstrual syndrome.","['Tension or anxiety', 'Depressed mood', 'Crying spells', 'Mood swings and irritability or anger', 'Appetite changes and food cravings', 'Trouble falling asleep (insomnia)', 'Social withdrawal', 'Poor concentration', 'Change in libido']","['Eat smaller, more-frequent meals to reduce bloating and the sensation of fullness.', 'Limit salt and salty foods to reduce bloating and fluid retention.', 'Choose foods high in complex carbohydrates, such as fruits, vegetables and whole grains.', ""Choose foods rich in calcium. If you can't tolerate dairy products or aren't getting adequate calcium in your diet, a daily calcium supplement may help."", 'Avoid caffeine and alcohol.']",,,,,,,,,,,
premenstrual syndrome,PMS,,https://www.mayoclinic.org/diseases-conditions/premenstrual-syndrome/symptoms-causes/syc-20376780,"Premenstrual syndrome (PMS) has a wide variety of signs and symptoms, including mood swings, tender breasts, food cravings, fatigue, irritability and depression. It's estimated that as many as 3 of every 4 menstruating women have experienced some form of premenstrual syndrome.","['Tension or anxiety', 'Depressed mood', 'Crying spells', 'Mood swings and irritability or anger', 'Appetite changes and food cravings', 'Trouble falling asleep (insomnia)', 'Social withdrawal', 'Poor concentration', 'Change in libido']","['Eat smaller, more-frequent meals to reduce bloating and the sensation of fullness.', 'Limit salt and salty foods to reduce bloating and fluid retention.', 'Choose foods high in complex carbohydrates, such as fruits, vegetables and whole grains.', ""Choose foods rich in calcium. If you can't tolerate dairy products or aren't getting adequate calcium in your diet, a daily calcium supplement may help."", 'Avoid caffeine and alcohol.']",,,,,,,,,,,
prickly heat,heat rash,,https://www.mayoclinic.org/diseases-conditions/heat-rash/symptoms-causes/syc-20373276,"Heat rash — also known as prickly heat and miliaria — isn't just for babies. It affects adults, too, especially in hot, humid conditions.","['The mildest form of heat rash is called miliaria crystallina. It occurs when the opening of the sweat duct on the surface of the skin (sweat pore) is blocked. This form is marked by tiny, clear, fluid-filled bumps that break easily.', 'A type that occurs deeper in the skin is called miliaria rubra. It is sometimes called prickly heat. Signs and symptoms include small, inflamed blister-like bumps and itching or prickling in the affected area.', 'Occasionally, the inflamed bumps of miliaria rubra fill with pus. This form is called miliaria pustulosa.', 'A less common form of heat rash is called miliaria profunda. It affects the deepest layer of the skin (dermis). It causes firm, painful or itchy inflamed bumps that look like goose bumps and may break open.']","['Press a cool cloth on your skin or take a cool shower or bath. It may help to let your skin air-dry.', 'Avoid using oily or greasy moisturizers, cosmetics, sunscreens and other products that can block pores further. Instead use a moisturizer with wool fat (anhydrous lanolin), which helps prevent sweat ducts from getting clogged.']",,,,,,,,,,,
